,id,Price Range
275,d5506292,$$ - $$$
276,d12164454,$$ - $$$
277,d7772581,$
278,d5122657,$
279,d4768668,$
280,d10686851,
281,d7189024,
282,d11871901,
283,d1327141,$$ - $$$
284,d5583335,
285,d8414125,$$ - $$$
286,d13279636,$$ - $$$
287,d5522002,$
288,d5972350,
289,d7787852,
290,d10201077,$$ - $$$
291,d5776307,
292,d9742180,$$ - $$$
293,d12452377,$$ - $$$
294,d12277704,
295,d11793939,
296,d8808859,$$ - $$$
297,d4091909,$$ - $$$
298,d5518556,
299,d10467094,
300,d1044726,
301,d12233546,
302,d11911250,
303,d8596967,
304,d7147205,
305,d7966501,
306,d10146454,$$ - $$$
307,d10041332,
308,d6620235,
309,d8853180,
310,d9456607,$$ - $$$
311,d12414220,
312,d7595454,
313,d12883544,
314,d7132084,$$ - $$$
315,d11766630,$
316,d9745343,$
317,d10301071,$$ - $$$
318,d6673365,
319,d7360304,$$ - $$$
320,d2190085,
321,d8362902,$
322,d4553147,
323,d12966435,
324,d7205059,$$ - $$$
325,d938657,
326,d11812573,
327,d10789401,
328,d12335302,$$ - $$$
329,d8435433,$$ - $$$
330,d7949496,
331,d5262205,
332,d6224819,
333,d5511542,
334,d7274076,
335,d3367014,
336,d7939547,
337,d5884421,
338,d11783344,
339,d8788057,$$ - $$$
340,d12061819,
341,d5862958,
342,d12395922,
343,d1905070,$$ - $$$
344,d2283070,
345,d8397457,$
346,d12393437,
347,d6652756,
348,d7045726,
349,d9750236,$
350,d9788399,
351,d13125687,
352,d11945680,$$ - $$$
353,d5617497,
354,d8338380,$
355,d11737173,
356,d13284579,
357,d11721981,
358,d2146131,$
359,d12535679,$
360,d12789180,$$ - $$$
361,d2690863,
362,d5850350,$
363,d12911571,
364,d5981992,
365,d8467764,
366,d804602,
367,d9798152,
368,d12950509,$$ - $$$
369,d13239000,$
370,d13003137,
371,d10467958,
372,d4470803,$$ - $$$
373,d11809877,$$ - $$$
374,d13504772,$$ - $$$
375,d12567561,
376,d8462263,$
377,d1411212,$
378,d4768930,
379,d4507301,
380,d4923344,
381,d3729312,$
382,d8482195,$
383,d3384860,$$ - $$$
384,d4919421,
385,d4006807,$
386,d10553180,
387,d7124407,
388,d9740773,
389,d3982546,$$ - $$$
390,d8601922,$$ - $$$
391,d717321,
392,d5852650,
393,d6716194,
394,d4002138,
395,d10980877,
396,d4090317,$$ - $$$
397,d5244283,
398,d8530236,
399,d7322354,
400,d733242,$$ - $$$
401,d1039025,$$ - $$$
402,d9791357,$
403,d2010970,
404,d12025919,$$ - $$$
405,d2507688,
406,d10252067,
407,d1381899,
408,d12322498,
409,d12430027,
410,d5981575,
411,d7681774,$
412,d10735138,$$ - $$$
413,d9999347,
414,d6380666,
415,d12862570,$$ - $$$
416,d10486190,
417,d7304447,$$ - $$$
418,d11847890,
419,d7349508,$$ - $$$
420,d1012032,$$ - $$$
421,d5510425,$
422,d5432964,
423,d13149867,
424,d8393660,$
425,d11909498,$
426,d11444792,$
427,d11964473,$
428,d1043864,
429,d9737054,$$ - $$$
430,d7148300,
431,d12216087,$
432,d12907448,$
433,d7045483,$
434,d7246396,
435,d2642170,
436,d13133990,
437,d12967102,$$ - $$$
438,d7906376,$
439,d12172437,$
440,d4138226,
441,d8336708,$
442,d11657242,
443,d8471958,
444,d1945827,
445,d6986251,
446,d12170190,
447,d7123548,
448,d4768750,$$ - $$$
449,d2660129,
450,d8333948,$$ - $$$
451,d7284551,
452,d6922185,$
453,d11768556,$
454,d1044850,
455,d4924764,$
456,d11916139,$$ - $$$
457,d7181204,
458,d11711074,$$ - $$$
459,d5122077,
460,d8339780,
461,d5997013,
462,d10872699,$
463,d10782337,
464,d4776631,
465,d6107125,
466,d6704366,$$ - $$$
467,d8741684,
468,d8297597,$
469,d5981386,
470,d4769848,
471,d11434812,
472,d12833026,
473,d8834072,$$ - $$$
474,d5787737,$
475,d12798690,
476,d12207700,$
477,d7753684,$$ - $$$
478,d12420840,$
479,d4345739,$
480,d1673131,
481,d1819638,
482,d3142934,
483,d1346077,$$ - $$$
484,d10274660,$
485,d13002781,$
486,d11979495,$$ - $$$
487,d7931246,
488,d5954906,$$ - $$$
489,d7171641,$
490,d5944298,
491,d4323946,
492,d10742398,
493,d1229263,
494,d10109714,
495,d8461747,$
496,d12937099,$
497,d12864876,
498,d6922156,
499,d12667748,
500,d5510962,
501,d4924135,
502,d9758853,$
503,d4521072,
504,d5959357,
505,d5616905,
506,d4912174,
507,d9829783,
508,d9871396,
509,d8692873,
510,d5986456,$$ - $$$
511,d6114779,
512,d9853874,
513,d1044657,
514,d9810973,$
515,d8263801,
516,d5264374,
517,d4244954,
518,d1320095,
519,d12342022,$$ - $$$
520,d10762770,
521,d4758586,
522,d11718885,$
523,d11666692,
524,d10624148,$$ - $$$
525,d4167330,$$ - $$$
526,d12351411,
527,d5971438,
528,d4318784,$
529,d12681755,$
530,d13126863,$$ - $$$
531,d7108818,$$ - $$$
532,d6704114,$
533,d9593971,
534,d7112012,
535,d945833,
536,d3678003,
537,d12246522,
538,d990605,
539,d11929423,$
540,d8692514,$
541,d6751284,
542,d997606,
543,d5931811,$$ - $$$
544,d10035223,$$ - $$$
545,d2255981,
546,d7178729,
547,d3333356,
548,d10832992,$$ - $$$
549,d7032593,$
550,d7020812,$
551,d12322168,$$ - $$$
552,d4768675,$
553,d7223160,
554,d8287553,
555,d3384670,
556,d5122257,$$ - $$$
557,d12857123,
558,d13135431,
559,d7620381,$$ - $$$
560,d10188766,$
561,d7609639,
562,d10815488,$$ - $$$
563,d12728815,$$ - $$$
564,d3863261,$
565,d2445042,
566,d4911298,$$ - $$$
567,d13282850,
568,d10200676,
569,d2013398,$$ - $$$
570,d6961700,$
571,d4884977,
572,d1039258,
573,d12421545,
574,d798795,
575,d11596409,$$ - $$$
576,d1496003,$$ - $$$
577,d7619745,$$ - $$$
578,d7652370,
579,d959085,$
580,d3611071,
581,d5513206,
582,d4884737,
583,d8471854,$
584,d13197050,$$ - $$$
585,d4768413,$
586,d7228324,
587,d9791174,
588,d7589402,
589,d1319580,$$ - $$$
590,d5988119,
591,d11771269,
592,d5964343,
593,d6212830,
594,d10218265,$$ - $$$
595,d12212086,$
596,d2513579,
597,d7615995,$$ - $$$
598,d12674241,$$ - $$$
599,d3742818,
600,d1344531,$$ - $$$
601,d1330939,
602,d12377604,
603,d4283361,
604,d7123406,
605,d6706025,
606,d8753514,$
607,d13130053,
608,d2096383,
609,d1356813,
610,d998022,$
611,d10046841,$$ - $$$
612,d12032968,
613,d10034211,
614,d10049578,
615,d13129650,$$ - $$$
616,d12215220,$$ - $$$
617,d10427577,$
618,d7089395,$$ - $$$
619,d12322543,
620,d1346071,$
621,d786883,$$ - $$$
622,d12901251,
623,d13082910,$
624,d8428585,
625,d11910503,$$ - $$$
626,d12002313,$$ - $$$
627,d5972458,$$ - $$$
628,d12632479,$
629,d13288611,$
630,d8428379,
631,d4132762,$
632,d12149655,
633,d12228470,$$ - $$$
634,d11822541,$$ - $$$
635,d10032359,
636,d779486,$$ - $$$
637,d10822558,$
638,d5820715,$$ - $$$
639,d10805602,$$ - $$$
640,d5890736,
641,d10077840,
642,d5958887,$
643,d12956383,$$$$
644,d7067872,
645,d10049894,
646,d10467508,
647,d8670937,
648,d9607414,
649,d11500668,
650,d10026275,$$ - $$$
651,d4041933,
652,d7990553,$
653,d3853286,
654,d3475361,
655,d968501,
656,d11719295,
657,d697489,$$ - $$$
658,d10160935,
659,d8279370,
660,d5609081,
661,d6458692,
662,d6714790,
663,d3791760,
664,d10662137,$$ - $$$
665,d7686488,
666,d12946257,
667,d5964501,$
668,d13081831,$
669,d1035081,
670,d6893937,
671,d947430,$$ - $$$
672,d4782958,$$ - $$$
673,d8383259,$
674,d13117362,
675,d1359319,$$ - $$$
676,d12874574,
677,d8479714,$
678,d6201738,$
679,d9749145,
680,d8856627,
681,d5519135,$
682,d9750098,$
683,d6619294,
684,d10285148,$
685,d5821519,$
686,d1356204,
687,d8365285,
688,d7733296,
689,d5058953,$
690,d5122788,
691,d4844059,$
692,d9819286,$
693,d12275378,
694,d8518295,
695,d4040640,$
696,d8097708,
697,d4168534,$
698,d6935701,$
699,d7916144,$$ - $$$
700,d12792802,
701,d11799323,
702,d4010962,
703,d8705250,
704,d4931818,$$$$
705,d12826485,$$ - $$$
706,d10449150,$
707,d11802066,$
708,d4148855,$
709,d9877436,$
710,d1071804,$$ - $$$
711,d1080742,
712,d1359963,$$ - $$$
713,d8619499,
714,d13205446,
715,d4414980,$$ - $$$
716,d12323706,$
717,d10509453,$
718,d1103656,
719,d6206674,
720,d2035885,$
721,d9740148,
722,d10335983,$
723,d10146360,$$ - $$$
724,d5220255,
725,d8672746,$$ - $$$
726,d10831953,$$ - $$$
727,d3793122,
728,d13421037,$$ - $$$
729,d8733137,$$ - $$$
730,d7595642,
731,d8645024,
732,d9605960,
733,d7605092,
734,d5804331,
735,d4084438,
736,d5496500,$$ - $$$
737,d8787538,
738,d1356015,
739,d4844204,
740,d10192258,
741,d5122064,
742,d8339618,
743,d8451223,$
744,d5122849,
745,d12786833,
746,d3933272,$
747,d4209784,
748,d1103687,
749,d2151556,
750,d10794914,$$ - $$$
751,d12558178,
752,d9789365,$$ - $$$
753,d8531697,$$ - $$$
754,d12453682,
755,d7992615,$
756,d6755784,
757,d11928149,$$ - $$$
758,d8462270,$$ - $$$
759,d1340196,$
760,d5444806,
761,d3561734,$
762,d997680,
763,d13322678,$$ - $$$
764,d12867989,
765,d9805445,
766,d13090183,
767,d7252091,$
768,d4768775,
769,d1436135,
770,d12832409,
771,d7236057,
772,d2289774,$
773,d6726759,$
774,d12674783,$$ - $$$
775,d8801895,$$ - $$$
776,d4179852,
777,d12238910,$$ - $$$
778,d4675349,
779,d10341101,
780,d4943034,
781,d1329045,
782,d5491342,$
783,d1336899,$
784,d2006103,
785,d5800154,
786,d5851593,$
787,d12012205,
788,d5816301,
789,d3607486,
790,d2321413,
791,d4133810,$
792,d12327330,
793,d4225914,$
794,d7181186,$$ - $$$
795,d7061079,
796,d3179120,
797,d718042,
798,d986430,
799,d12378996,
800,d6999656,$$ - $$$
801,d11788852,$
802,d12192052,$$ - $$$
803,d6581207,
804,d5614311,$
805,d3973615,$
806,d13144654,$$ - $$$
807,d4601776,
808,d12097595,
809,d7698439,
810,d10716310,$$ - $$$
811,d11930650,
812,d4793252,
813,d10928392,$$ - $$$
814,d3607474,$$ - $$$
815,d991499,
816,d13190177,$$ - $$$
817,d8385113,
818,d8474890,$
819,d10069335,$$ - $$$
820,d11857642,
821,d12141502,$$ - $$$
822,d10252893,
823,d5011008,$$ - $$$
824,d10140372,
825,d8068547,$$ - $$$
826,d8528925,$
827,d12155292,
828,d11687199,$
829,d5825478,$
830,d10192941,$$ - $$$
831,d2699141,$$ - $$$
832,d10392545,$$ - $$$
833,d7357040,$$ - $$$
834,d4187562,
835,d11713844,$
836,d6835557,
837,d11815170,
838,d11983289,$$ - $$$
839,d6641357,$$ - $$$
840,d2325542,
841,d10202484,$$ - $$$
842,d5976473,$$ - $$$
843,d9733986,
844,d1523598,
845,d7953199,$
846,d12878264,$$ - $$$
847,d4914376,
848,d7755777,$$ - $$$
849,d7687655,$
850,d11706130,
851,d5243162,
852,d8338553,
853,d5259633,
854,d8124258,
855,d4101339,
856,d13272276,$$ - $$$
857,d7123679,
858,d11547347,$
859,d8340107,
860,d5581103,$$ - $$$
861,d7082472,
862,d11629649,$$ - $$$
863,d1390604,
864,d9853867,
865,d12181618,$$ - $$$
866,d8624540,$$ - $$$
867,d5895042,
868,d5969539,
869,d11852969,$
870,d8022957,$$ - $$$
871,d2373496,
872,d13125943,
873,d3200465,
874,d5778069,$
875,d3252702,$$ - $$$
876,d9557939,
877,d4050538,
878,d13008535,
879,d11688396,$$ - $$$
880,d12005035,$$ - $$$
881,d9852007,$
882,d10347570,
883,d7720210,$
884,d7694821,
885,d2454351,
886,d7123541,
887,d13234497,
888,d11917969,$
889,d12094923,$$ - $$$
890,d12716810,$
891,d5936442,
892,d5122139,
893,d12578664,$$ - $$$
894,d5487478,
895,d3749509,
896,d10431069,
897,d13201288,$$ - $$$
898,d3428262,
899,d4427648,
900,d7607585,
901,d7282058,
902,d4786882,
903,d10517142,
904,d8017741,
905,d12320990,
906,d8339648,$
907,d4134340,
908,d2723577,
909,d12255549,$
910,d10468312,
911,d5583545,
912,d7365793,
913,d3954674,
914,d4522039,
915,d10019835,
916,d4910737,$
917,d5981520,
918,d5955847,
919,d6995316,
920,d4910121,
921,d4409952,
922,d7003290,$$ - $$$
923,d7714826,$
924,d6673639,
925,d1344921,
926,d9859952,
927,d5865670,
928,d5454322,
929,d2053313,$
930,d7342196,
931,d12827934,
932,d1332788,$$ - $$$
933,d5795620,
934,d799329,
935,d3929229,$
936,d9767510,$$ - $$$
937,d1798785,$$ - $$$
938,d9717122,$
939,d7705000,$$ - $$$
940,d11703985,$$ - $$$
941,d8848749,
942,d7349863,$
943,d9830824,
944,d12252409,
945,d10323532,
946,d5794562,
947,d12850963,
948,d5813719,
949,d10733472,$
950,d8782965,$$ - $$$
951,d7367629,$$ - $$$
952,d9452660,$
953,d1234581,
954,d8339773,$
955,d11984905,$
956,d1965826,$
957,d4150090,$
958,d697197,
959,d1037140,
960,d1344184,$$ - $$$
961,d10301915,
962,d12127413,$$ - $$$
963,d3902952,$$ - $$$
964,d793635,
965,d12806137,$$ - $$$
966,d3723806,$$ - $$$
967,d740223,$$ - $$$
968,d6959285,
969,d5122098,$$ - $$$
970,d2297920,
971,d9882080,
972,d10583051,
973,d4809095,$$ - $$$
974,d12431424,
975,d4331638,
976,d9731210,
977,d986345,
978,d6699716,
979,d718357,
980,d5813320,
981,d13196509,
982,d1657483,
983,d2605405,
984,d1087793,$$ - $$$
985,d6276909,$$ - $$$
986,d7092893,$$ - $$$
987,d4912210,
988,d2069188,$$ - $$$
989,d10183489,
990,d697294,$$ - $$$
991,d3293006,
992,d12874525,$$ - $$$
993,d12670810,$$ - $$$
994,d7251714,$
995,d10665100,
996,d3982588,
997,d8288699,
998,d13126117,
999,d12430910,$$ - $$$
1000,d2616974,
1001,d2337995,
1002,d13291091,$$ - $$$
1003,d9581221,$$ - $$$
1004,d987871,
1005,d12978805,
1006,d3677042,
1007,d12913582,
1008,d9882107,
1009,d10501475,$
1010,d1329781,$$ - $$$
1011,d7123598,
1012,d1317345,
1013,d9750862,$$ - $$$
1014,d2031122,
1015,d3499183,
1016,d13108922,$$ - $$$
1017,d10815291,$$ - $$$
1018,d10028345,$$ - $$$
1019,d9986891,
1020,d12087969,
1021,d12506505,
1022,d10303002,
1023,d12155241,
1024,d12523639,
1025,d12824847,
1026,d4374861,
1027,d3498760,$
1028,d6857166,$$ - $$$
1029,d13172157,$$ - $$$
1030,d697610,
1031,d6200985,$
1032,d3576247,
1033,d10584149,
1034,d8462996,$$ - $$$
1035,d11965418,$$ - $$$
1036,d2282803,
1037,d5890556,
1038,d12657453,$$ - $$$
1039,d6697361,$
1040,d4769551,
1041,d9561885,
1042,d2643409,
1043,d4770089,
1044,d5488978,$
1045,d9736438,$
1046,d10279161,$
1047,d3647031,$
1048,d6618234,
1049,d4928913,
1050,d8093048,$$ - $$$
1051,d12533497,$$ - $$$
1052,d10751621,
1053,d10508372,
1054,d5972492,
1055,d5080712,$
1056,d5220343,
1057,d1877205,
1058,d5264459,$$ - $$$
1059,d8077953,
1060,d8339853,$
1061,d3943992,
1062,d8356681,$
1063,d1195848,
1064,d10039383,
1065,d12320773,
1066,d3433011,$$ - $$$
1067,d4793218,
1068,d12530861,$
1069,d12560018,
1070,d5895400,$$ - $$$
1071,d10396847,$
1072,d743846,$$ - $$$
1073,d8148024,
1074,d12557822,
1075,d8339797,$
1076,d8490715,
1077,d7904953,
1078,d7277852,$
1079,d8338558,
1080,d4221407,
1081,d780905,$$ - $$$
1082,d7886352,$$ - $$$
1083,d11742815,
1084,d9824211,
1085,d10519586,
1086,d1016030,$$ - $$$
1087,d5809843,$$ - $$$
1088,d10733501,$$ - $$$
1089,d6988995,$
1090,d4925682,$
1091,d8786577,$
1092,d10377580,
1093,d10845906,$
1094,d10624929,
1095,d12633126,
1096,d7124281,
1097,d2153168,$
1098,d4910692,
1099,d2061450,
1100,d12149248,
1101,d1039059,$$ - $$$
1102,d9809593,
1103,d2704179,
1104,d964516,$$ - $$$
1105,d8405383,
1106,d778850,$
1107,d12406630,$$ - $$$
1108,d12883260,
1109,d720646,
1110,d7028405,
1111,d7705085,$$ - $$$
1112,d8297631,$
1113,d8389853,
1114,d5959108,
1115,d8827469,$$ - $$$
1116,d5776778,
1117,d9744760,$
1118,d8485758,$
1119,d8261504,
1120,d6985483,
1121,d12621405,$
1122,d11881289,$$ - $$$
1123,d13197525,
1124,d13005906,$$ - $$$
1125,d697865,
1126,d4925072,$
1127,d3567660,
1128,d4060319,
1129,d7294241,
1130,d8611027,$
1131,d11810618,
1132,d10071825,
1133,d6750888,
1134,d1571579,
1135,d13230314,$$ - $$$
1136,d11921254,$$ - $$$
1137,d1747149,
1138,d11953102,$
1139,d11434857,
1140,d8527837,
1141,d10288999,
1142,d11547467,$$ - $$$
1143,d7283061,$$ - $$$
1144,d2689810,
1145,d5870730,$$ - $$$
1146,d4150372,$$ - $$$
1147,d10004354,
1148,d1043988,
1149,d4778786,$
1150,d12795921,
1151,d12546929,$
1152,d696219,
1153,d4794606,
1154,d1175243,
1155,d4770140,
1156,d12731915,
1157,d5779752,$$ - $$$
1158,d5888656,$
1159,d4155665,
1160,d720335,$$ - $$$
1161,d7939772,
1162,d7604228,
1163,d5794927,
1164,d2294129,
1165,d9830909,
1166,d12716306,
1167,d4771998,
1168,d12076815,
1169,d12195919,
1170,d2216441,
1171,d10843558,
1172,d9766113,
1173,d4594213,
1174,d10026670,$$ - $$$
1175,d8322337,
1176,d6979679,$
1177,d12207498,$$ - $$$
1178,d4366659,$$ - $$$
1179,d11779213,$$$$
1180,d8581485,$
1181,d1185140,
1182,d5790645,
1183,d6902622,
1184,d2562129,
1185,d7160818,
1186,d8361333,
1187,d2173304,
1188,d997456,$$ - $$$
1189,d8343965,
1190,d2185882,
1191,d7124010,
1192,d3485782,
1193,d8339761,
1194,d2085945,
1195,d5510292,
1196,d6440870,$$ - $$$
1197,d5933896,$$ - $$$
1198,d1327654,
1199,d5486339,$$ - $$$
1200,d10087488,$$ - $$$
1201,d4923241,
1202,d12910880,$$ - $$$
1203,d10468925,$
1204,d8476392,$
1205,d5122724,
1206,d7341685,
1207,d2367877,
1208,d8684892,
1209,d718419,$$ - $$$
1210,d9751133,$$ - $$$
1211,d12670824,$
1212,d5794782,$
1213,d5868271,$
1214,d1946076,$$ - $$$
1215,d4770180,
1216,d1044344,
1217,d6856850,
1218,d7597162,
1219,d8398466,$$ - $$$
1220,d12447534,$$ - $$$
1221,d11622707,
1222,d1353542,
1223,d5791730,$
1224,d4745123,$
1225,d1331171,
1226,d7811215,
1227,d11689224,$$ - $$$
1228,d12670300,$$ - $$$
1229,d10754220,
1230,d8393556,$$ - $$$
1231,d12690611,$
1232,d12208688,
1233,d7261832,
1234,d3946209,
1235,d7127920,
1236,d12404633,$$ - $$$
1237,d10846769,
1238,d6715442,$$ - $$$
1239,d8339557,
1240,d7124548,$$ - $$$
1241,d5617347,
1242,d10679589,$
1243,d13129071,$
1244,d5815842,
1245,d13477951,
1246,d8320224,$$ - $$$
1247,d4844994,$$ - $$$
1248,d7160729,$$ - $$$
1249,d10347901,
1250,d5816217,
1251,d6714296,
1252,d7123235,
1253,d12438465,$
1254,d5523143,
1255,d8853237,
1256,d5486633,$$ - $$$
1257,d13195587,
1258,d4093352,
1259,d1534926,
1260,d719799,$
1261,d4363770,$
1262,d11668002,
1263,d9836681,
1264,d11952754,
1265,d4150091,
1266,d3622319,
1267,d4424352,
1268,d8432085,$$ - $$$
1269,d2621534,
1270,d4769770,
1271,d12449962,$$ - $$$
1272,d2373990,
1273,d5768681,$
1274,d8364770,
1275,d2149612,$
1276,d4844339,
1277,d7742983,$$ - $$$
1278,d4287848,$$ - $$$
1279,d3439658,
1280,d12741799,$
1281,d12562867,$$ - $$$
1282,d5509525,
1283,d8498250,
1284,d12071777,
1285,d4831827,$
1286,d5489226,
1287,d7123785,$
1288,d9797930,$$ - $$$
1289,d12671975,$$ - $$$
1290,d11921205,
1291,d12741717,$$ - $$$
1292,d8610209,
1293,d10188698,$$ - $$$
1294,d2399134,
1295,d8130518,
1296,d4061130,
1297,d5486156,
1298,d8537733,
1299,d7905760,$$ - $$$
1300,d8306653,
1301,d11774873,
1302,d11737291,
1303,d5027108,
1304,d8861490,$
1305,d9809498,
1306,d4607843,
1307,d1356054,
1308,d12143894,$
1309,d4769028,$$$$
1310,d7693489,
1311,d5267806,$
1312,d12506172,$
1313,d5122044,$
1314,d11651307,
1315,d878295,
1316,d8860948,
1317,d12065275,$$ - $$$
1318,d10686379,$
1319,d4770084,
1320,d12786736,
1321,d6159015,$
1322,d8353490,
1323,d4289290,$
1324,d12148796,
1325,d10072605,
1326,d11880466,
1327,d8834124,
1328,d8809828,
1329,d8681805,$$ - $$$
1330,d5977490,$$ - $$$
1331,d12926411,
1332,d5489148,$
1333,d11992818,
1334,d10036197,
1335,d11860525,$$ - $$$
1336,d5791590,
1337,d1093742,
1338,d7117216,$$ - $$$
1339,d9807467,
1340,d13289876,
1341,d9714836,
1342,d2090197,$$ - $$$
1343,d9788504,$
1344,d10500062,
1345,d7897018,
1346,d5980933,$
1347,d12431819,$$ - $$$
1348,d7938828,
1349,d2203463,
1350,d6947757,$
1351,d1093661,
1352,d12609630,$$ - $$$
1353,d9882946,$$ - $$$
1354,d9758802,
1355,d12394472,
1356,d10170008,$
1357,d5260486,$
1358,d12687303,$
1359,d8018289,$
1360,d982905,$
1361,d12690406,
1362,d7616195,
1363,d12657757,$$ - $$$
1364,d10076264,
1365,d13116812,
1366,d6953569,$
1367,d4149993,
1368,d997217,$$ - $$$
1369,d719410,
1370,d12388275,
1371,d5615712,
1372,d695926,
1373,d1325599,
1374,d12446122,$
1375,d12875961,
1376,d8487293,$
1377,d7711819,
1378,d7710664,$$ - $$$
1379,d12645762,
1380,d9980695,$$ - $$$
1381,d7691403,
1382,d11644314,$
1383,d1734464,
1384,d10177098,$$ - $$$
