ID_TA,Cuisine Style
d7332770,"[['My friend and I ate here. The dinner bowls were quickly served. And the dinner bowls were delicious. The pair of workers were friendly and helpful. There’s a small place to eat inside.', 'If you are staying or walking nearby, definitely  stop in for the delicious Bo Bun.  It was wonderful and the couple cooking and running the restaurant are so seeet.  We went twice during our one week stay.'], ['May 7, 2019', 'May 1, 2019']]"
d1035491,"[[],[]]"
d11770289,"[[],[]]"
d11687952,"[['This was a really lovely little spot, quite a small cafe but good atmosphere. The staff explained everything to us in English. We paid 29 euros for a fixed price buffet of vegan and veggie delights, plus either a waffle or focaccia and soup with...a fresh fruit pressé. The buffet had a selection of salads, hummus, fruit and cakes. Coffee and tea on tap. It was interesting food although for 3 adults and 1 six year old our bill was over 100 euros. I’m not sure it was value for money, so on the expensive side, which is why it didn’t get five stars. But it was something different and great for instagrammers.More', 'Friendly, relaxed atmosphere. You choose between a veggie or vegan main which comes with various other bits. Then there is the buffet which you can help yourself to, it had a mixture of salads, roasted veg, crackers, dips etc. \n\nAlso several different dessert options too...- the choc cake was delicious! \n\nSeemed pricey at first but essentially you’re getting a 3 course meal so actually isn’t that bad.More', ""Lula's was conveniently located close to our hotel and we were tempted by the range of light meal options for lunch and the variety of ingredients. The salads we had were very fresh, zingy with orange, and generous in size. The atmosphere was very relaxed...and the staff were friendly. We'd be happy to go back if we were in the area.More""], ['January 26, 2020', 'December 6, 2019', 'March 3, 2019']]"
d12911907,"[[],[]]"
d12350248,"[[],[]]"
d13197631,"[['As the name says, the place is specialized in chicken - specifically grilled chicked. Simple food, but prepared very well. The various sides and souces make it an even better experience.\nThe staff in attentive and super nice. An advice from them: it’s worth to...reserve ahead, as it helps them also to forecast how much food they need to have on the grill in advance, so they can serve you faster.More', 'We could only get one thing from the menu. They didn’t remember what we order to drink! Arrogant waiter and when finally the food came out we only got one plate and all this for a pretty high price in Budapest.\nIf you’re looking for...a good restaurant, this is worse than Mc Donald’s!More', 'Delicious grill chicken, had it with mashwd potatoes and pickles. Well prepared but nothing extraordinary, found it expensive though.'], ['March 7, 2020', 'October 13, 2019', 'October 6, 2019']]"
d8772965,"[[],[]]"
d12243659,"[[],[]]"
d11951657,"[[],[]]"
d7995801,"[['They have shared plates for 2ppl which you can try 3 kinds of dishes, but I went there solo. The nice thing about it that you can get half and half. So instead of ordering 2 full meals, I got to enjoy 2 flavors. Very...friendly to solo travelers!More', 'We visited when very hungry. The outside menu had no prices on however this seemed common in Bratislava. The food portions were very small and the food itself was not nice at all. To make matters worse we’d missed the sign on the menu ‘Non...Optional 10% service fee!’ We paid €50 for 3 mediocre meals, and 3 beers. Throughout the trip the same food with bigger portions and bigger beers was costing around €20.More', 'There are 2 places like this near each other. This one is best if you head upstairs to the huge hall and order up big. Big portions of hearty , tasty , artery clogging meal;s. Yum !\nFun T shirts on sale make interesting gifts.'], ['November 19, 2019', 'October 12, 2019', 'September 18, 2019']]"
d1328183,"[[],[]]"
d7967318,"[['I’ve been here few times. I really like traditional places and this is an authentic one with few dishes from traditional italian cuisine (ossobuco with risotto, ravioli, cotoletta), good wine and... music in the weekend- during the dinner sometimes there are music players coming in...and playing which makes atmosphere very lively. Prices are ok for Milan, service is pretty simple.More', 'This is a great place. We really enjoyed the food and people. Very local and home style cooking. A level of Italian is required as menu only in Italian and staff only Italian. Prices set at menu 1st, 2nd, side + water and coffee 10...euros.More'], ['March 18, 2019', 'February 22, 2018']]"
d12681857,"[['What a delight! A mix of Italian deli and small restaurant in a quiet road just off rue Tronchet near La Madeleine church. We took 3 different salads (burrata, Parmesan and salmon) and a selection of desserts. All delicious. Wine by the glass (very generous...serving) served by friendly restaurant owner. This is our second visit. And we’ll definitely return.More', 'Amazing little Italian restaurant. The owner is really nice and the salads are delicious especially the burrata one !', 'I stopped with the family for what I thought would be a simple and small snack. Instead we ended up with delicious baguettes generously filled with fresh vegetables, toppings, and our choice of (all excellent) cheese and charcuterie. Simply perfect.'], ['October 15, 2020', 'October 15, 2020', 'November 14, 2018']]"
d13094972,"[['I was so glad to find an Acai in Paris but the experience at Love juice bar is just disappointing. The acai is tasteless and too iced, the toppings are poors.', 'The smoothie bowl is lovely and creamy, I tried the mango one - tasted like ice cream! But there was too little toppings according to the price - but tasted heavenly. \nThe staff was nice too, it is very good but not the best.  \n+...my latte was coldMore', 'Loved it!! Definitely recommend to anyone looking for a healthy treat whilst in Paris. The cutest little place and the prices were more than fair for what you got!! Can’t wait to come back :-)'], ['February 1, 2020', 'September 29, 2018', 'September 16, 2018']]"
d12867794,"[[],[]]"
d10226097,"[[], []]"
d4600226,"[[],[]]"
d5867903,"[[],[]]"
d5058767,"[[],[]]"
d11999809,"[['Very friendly service and an excellent large breakfast of meats, cheeses, salad and fruit. All well sourced products and very good value for money.'], ['July 24, 2019']]"
d11995686,"[[""I ordered salmon shirashi and sushi from this restaurant on 20 May 2019 and apart from the fact that the delivery arrived shortly after I had placed my order, it was horrible.\nI opened the sushi first and the rice was crispy, and the salmon...chewy.\nI then went for the shirashi. As soon as I opened the box I had a whiff of unfresh fishy smell that made me gag. I decided to be brave try it anyway. The texture was chewy and fibrous, not at all a texture you expect when eating fresh salmon which is supposed to be tender. The taste was also very fishy which again, is ironically not a taste you get with fresh fish. The rice was dry and crispy (I didn't order breakfast cereals :p).\nI threw everything away because I do not enjoy intoxicating myself with old fish.\nI definitely do not recommend and will NEVER order from there again.More""], ['May 28, 2019']]"
d13284434,"[['I used to live nearby and went to this place many times. It is clean and good. The chefs are very nice and even recognised me after one year living abroad. Sushi is very good so is the fish in general also for the sashimis....Prices are absolutely fair and value for money. It is quiet and I also went sometimes with business collegues in the eve to run a meeting with Sushi. Strongly recommend.More', 'Miso soup was a bit strange and watery, sushi was good and fresh. They have very cheap but nice wine.\nGood service, interior normal like at most of restaurants like this. Also i have to mention that they work till late evening and price is...not that high here. In general nothing special and not the place to come back for any atmosphere or food. It is just OK, but not WOWMore', ""I was in Paris for one evening with my best mate and as this was the closest restaurant, and it had the word clim on it, we decided to eat. Having initially looked at the prices, we were skeptical as it seemed quite expensive and...we were short of money!\n\nWe decided to just go for it and I ordered a chicken and rice dish with a beer which came to a total of 15 euros. When looking at the pictures, you wonder whether it's enough food to fill you and whether it is worth the money. Let me tell you now, it is so worth the money! The food is delicious and you get complementary soup before your meal. My friend couldn't even finish his salmon and rice. \n\nIt's a very traditional restaurant that was a pleasure to eat in! I recommend it to all, eat up!More""], ['September 12, 2016', 'September 16, 2015', 'August 12, 2015']]"
d10498197,"[['I wasn’t happy with the food, ordered the fried chicken breast and the chicken breast was thick was pinkish in the middle (maybe due to the thickness of the chicken breast), the gin and tonic was extremely bitter .. all in all it was unsatisfactory...relative to the price paid and was extremely expensive, I would have happily paid the price again if the food and the experience would have been worth the while.\nAnyways great view if you insist on going there then go for a beer and enjoy the sun but I wouldn’t go for food there.More'], ['July 12, 2020']]"
d12441400,"[['Incredible night thanks to Alex. We were visiting from London and he made us feel right at home and walked us through the menu. Great food, great night. We were a bit scared supporting chelsea against Barcelona...in Barcelona!!!', 'There were a lot of reataurants in the area or along the street but we are very happy to choose Sanbermut!. \nFood is delicious! Thanks to the Alex personally took care of us.  \nThere was already an english menu but he helped us to find...something special. \nYou should come here and taste ""pepitto"" ! Recommended.More'], ['February 20, 2018', 'February 9, 2018']]"
d3193915,"[[],[]]"
d7243246,"[[], []]"
d10735345,"[[],[]]"
d13198202,"[[""The food was very good apart from the too salty risotto.  Salt Cod ravioli was good but the stars of the show were the fillet steak and the Veal Milanese, which was the best I've ever had.  Exceptional.  The view towards Milan from the terrace...is beautiful.  The M89 is in an odd out of town location next to the Gucci Milan HQ.  I don't think you would bother making it all the way out from the city for a night but if you were staying in the hotel it's definitely worth a visit.  I understand it is going to be refurbished and the layout altered in September so bear that in mind if you go after that date.  Staff were all very nice.  Overall very good and I would dine again here on my next visit.More""], ['July 9, 2018']]"
d3873744,"[[],[]]"
d11903856,"[[],[]]"
d8660001,"[[],[]]"
d12999507,"[[],[]]"
d12254437,"[[], []]"
d1347837,"[[],[]]"
d8261215,"[[],[]]"
d8319709,"[[],[]]"
d12488103,"[[],[]]"
d1074698,"[[],[]]"
d4093995,"[[],[]]"
d6278406,"[[],[]]"
d9984284,"[[], []]"
d10533412,"[[],[]]"
d4727188,"[['5 business colleagues and 5 empty plates at the end. Limited choice of beers but good atmosphere. Waiter spoke good English.Reasonable prices.', 'Had an excellent fish dinner with a very nice service. Great fish selection and best fish soup in Hamburg.\nI strongly recommends the place', 'Great, good priced meal. Nice seafood and fish dishes with a staff that is polite and helpful.\nLocated in the Portuguese quarter nearby harbor, would return during my next visit!'], ['September 29, 2019', 'February 12, 2019', 'October 22, 2018']]"
d1103441,"[['My partner and I went to this restaurant to try some of our home food in Austria, Vienna. Just by looking at the interior design and the exterior design of the restaurant we fell in love with it. As we are both not German speaking,...we asked if there is a Russian/English menu available. The waiter turned out to be very disrespectful, told us that we should be able to understand it the way it is, and to finish off, reminded us that we are in Austria and that here, everything is in German. Of course I love my national food, but the attitude of the employee overcame my hunger.More'], ['April 30, 2018']]"
d1901926,"[[],[]]"
d7734583,"[[], []]"
d12384552,"[[],[]]"
d10430050,"[[],[]]"
d5869951,"[[],[]]"
d10724032,"[[],[]]"
d12997561,"[[],[]]"
d997803,"[[],[]]"
d11749991,"[[],[]]"
d12113037,"[['This restaurant is located just at Odeon in a cute street where you can enjoy a lively terrace or a comfy table inside. The service is impecable, the manager even welcomed us himself in such a busy place. The staff knows what they are doing...and I would recommend blindly any time at any hour. The menu includes everything you need and the prices are really affordable for the location. In the end, go without thinking.More', 'Located conveniently next to Odeon metro station. Friendly service and good espresso coffee (which is not so common in Paris). Area is charming and full of history. Good cigar shop is only few metres from Germaine.', 'I had lunch here today with my girlfriend. It’s in a very nice part of town, cool furniture and the seats outside have a good view of its surroundings. Very nice food and drinks. It’s also not too expensive for the quality it offers. The...waiter was very good too. I would recommend a nice lunch here.More'], ['February 18, 2020', 'February 15, 2020', 'July 15, 2019']]"
d8339764,"[[""Friendly little bar near to Milano Centrale Station.\nWe had a few beers and my wife said it was the best Aperol spritzer she'd had on the whole holiday !""], ['June 3, 2018']]"
d9456227,"[[],[]]"
d7097810,"[[],[]]"
d7996902,"[[],[]]"
d1354477,"[[],[]]"
d8381040,"[[],[]]"
d11958460,"[[],[]]"
d5936523,"[[],[]]"
d12098434,"[[],[]]"
d10079338,"[[], []]"
d12842987,"[[],[]]"
d13001385,"[['Had a great night at tong, an chineese inspired restaurant. \nGreat waitresses with a good tone and nice reccomendations! And happy faces! The rekommendations is Two dishes per persons which was good, one was chicken Wings. Superb!! My date had a cucumber dish eaten with...sticks. She loved it! The food was really nice, and atmoshepere good ! (See attached picture.) On table next to is there was two girls with influencer ambitions (not native girls Stockholm from countryside) talking a bit loud but classy dating life and talking about themselves but it doesnt do so much it was Nice to be back with a new women in a nice restaurant helping me out from my deep depression. Really recommend tong.More', 'Will not recommend to anybody. Had a terrible experience with being served alleregenics, too salty and bad service.', 'We shared Wood ear mushrooms, the eggplant and oyster mushroom tofu. Two sides of sesame egg noodles. 4-6dishes were recommended but this was enough. Great flavours- the oyster mushroom tofu was so good. Fab glass of riesling, very expensive. Great service and the restaurant decor...is modern and atmospheric. Prices high for small dishes. Overall, a lovely meal.More'], ['January 11, 2020', 'February 2, 2019', 'November 17, 2018']]"
d10288341,"[['excellent fondu, creamy and tasty. The restaurant does only fondu so be warned that is what you will be eating...', 'Found the hostess to be extremely rude not welcoming at all.\nAs newbies to the restaurant would not be returning worst experience in a long time.', ""This is a small brasserie with a specialty in cheese fondue. If it looks full, don't walk away because they have a small additional dining room upstairs.""], ['December 2, 2019', 'October 23, 2019', 'October 19, 2019']]"
d4593810,"[[],[]]"
d4156673,"[[],[]]"
d2407506,"[[],[]]"
d5614471,"[[],[]]"
d12175079,"[[],[]]"
d4173077,"[[],[]]"
d1038938,"[[],[]]"
d12875617,"[[],[]]"
d990817,"[[],[]]"
d11543758,"[[''], ['February 8, 2017']]"
d12563331,"[[],[]]"
d4799949,"[[],[]]"
d12322989,"[[],[]]"
d12921595,"[['I enjoyed everything, from the wine to the dessert, but the real deal maker was the trippa, a false friend whenever it comes to cooking. Yet it was tasty, supple and delicious. Highly recommended!', 'In this restaurant you breathe family air. There are few tables and staff very kind. I ate pasta with ""broccoli"" and bacon, my husband ate ""fettuccine"" with meat sauce. For second we shared a good plate of ""trippa"" in rome way. Fresh home made wine....Not expensive.More', ""A small family ruled restaurant in Rome's suburbs, not more than 10 tables inside. A very nice and helping staff . Traditional roman cusine, really tasty and rich servings and handmade desserts make this restaurant a must a try one. Prices really cheap (about 17...euros per person appetizers and main course, dessert, coffee, wine& water)More""], ['October 16, 2020', 'October 10, 2018', 'February 16, 2016']]"
d8090662,"[[], []]"
d3785147,"[['The food was not good. We went five and ordered 2 cesar salad, risoto, spagety and lasagne. All dishes we not a success. Maybe we should have ordered a simple pizza', ""The staff apologise that they do not have English menu, but being very patience to serve. So I stayed and I have ordered cinco quesos quesadillas - it's delicious! Will definitely go back and try other pizzas!"", 'The chef is truly talented. A small restaurant on the corner of calle Antonio palomino, you´ll find authentic italian style pizza. Our mascarpone pizza was to die for.'], ['March 1, 2018', 'December 19, 2017', 'November 8, 2017']]"
d8517072,"[['Perfect place to stop for some ice cream and watch the people go by. The ice cream and specialty deserts were all very good. Well worth the stop. Service was quick and friendly.'], ['October 13, 2018']]"
d10587448,"[['Yes indeed, really it is just chips and mayo or chips and ketchup or chips and curry but they are really, really good and really, really tasty. Probably deserves the full five stars but look it is just street food and fast food so four...is as much as I can go. Sorry. If you are visiting the market here then do yourself a favour by taking a break and treating yourself to very delicious chipsMore', 'This was my favourite discovery in Amsterdam! Went twice in a one day and four times in total. These chips are seriously the greatest chips I have ever eaten! The guys there were really nice, too. I will think about these chippies now for a...VERY long time!More', 'Came across Pietersma snacks chip stall on my recent trip to Amsterdam. Located in the Albert Cuyp Market this is a hidden gem. Probably the best fast food fries both I and my partner have eaten on our travels around Europe. It is certainly a...stall to visit should you be in the locality, you will not be disappointed!More'], ['March 1, 2020', 'January 15, 2020', 'August 9, 2019']]"
d1037163,"[[],[]]"
d7644937,"[[],[]]"
d11679759,"[[],[]]"
d12112547,"[[],[]]"
d5962368,"[[],[]]"
d6981542,"[[],[]]"
d10701333,"[['Very nice small sushi restaurant with nice ambiance and very good food.\nDidn’t speak English but it’s not really in a tourist area so that’s easily excused.\nThey had an all-inclusive menu for €20 but we wanted specific dishes so didn’t take it up. \nHaving...said that the two of us ate like royalty enjoyed a bottle of good Prosecco and two large beers and it was less than €80 euro total.\nThe large sushi boat was very good in particular.More'], ['December 3, 2019']]"
d10271724,"[[],[]]"
d12323685,"[[], []]"
d11861153,"[[],[]]"
d10477806,"[['I really liked pizza here. Delicious dough, a perfectly chousen recipe of herbs and spices. We ordered 4 entire pizzas for two (2 Margaritas and 2 Caprichoses). I loved it, thank you very much!'], ['February 26, 2019']]"
d8571233,"[[],[]]"
d10250368,"[[],[]]"
d9752550,"[[], []]"
d7274833,"[['Great casual dining spot with tables inside and out, and take-away options. Most well-known for their pizza al taglio (sold by square slices/weight), but they also have fritti (fried appetizers), full round pizzas, and a range of cooked food options (ie. lasagne, roast chicken, etc.)....Friendly staff + great food = a winning combination.More', 'The place was unexpectedly good!! Ingredients are very fresh and the food tastes great. All workers were very kind, too. I want to thank especially the chef, who gave us a surprising ""presents""!!\nThank you for a great time~~'], ['September 8, 2020', 'May 22, 2019']]"
d10818786,"[[],[]]"
d8657804,"[[],[]]"
d7124393,"[[],[]]"
d8602510,"[[],[]]"
d8804386,"[[], []]"
d10744198,"[['We met a good friend who lives in Rome at this wonderful restaurant because she wanted to take us to an authentic, local place!  Great food and wine off the beaten path!! Loved it!!', 'I discovered this restaurant searching online for places to eat nearby my house, and this has become our favorite by far. My partner and I both love the way they prepare all meals. Last night we had the homemade gnocchi di mare and it was...outstanding. Paccheri ragu is another favorite, as well as the orata. We come here every week, we love it so much.More'], ['November 4, 2019', 'November 9, 2018']]"
d9729580,"[[], []]"
d11951673,"[['The location is ideal between the acropolis and the agora. We sat inside being winter but I would expect that it is even nicer in summer.\nThe sour note of the establishment is service. The waitress was definitely more interested in her friends having drinks...than in our lunch, we were a mild annoyance, so much so that we could not order either desserts of coffee as the bill was produced before we asked for it (we ended up up the street in a very nice place).\nThe food on the other hand was very good. We ordered a chicken salad, meatballs and cheese wrapped in bread. Everything tasty.\nPrice is OK. around Euro 15 per person\nThe perfect place for a luch visiting Ancient Greece.More', 'We was looking for a place to have lunch and we enter melitis. Good service good ,i like the meat very much. A good place to go.', 'We went for a stroll to Thisio after maaaany years, and although this part of Athens is  not as popular as it used to be it still holds its charm with the beautiful views of Acropolis, Lycabettus and the Observatory. Melitis restaurant was the only...one that stood out from the rest of the establishments. We decided to have a quick bite and a couple of glasses of wine (2 persons). We had 1/2 kilo of the white house wine which was very nice, flat with average body - something that fits most palettes. We also got a meat variety for 2 persons, there were 2 beef patties, 2 pieces of chicken breast, pork cutlets and sausages. All seemed to be of excellent quality and properly grilled. They were accompanied by a handful of french fries and 2 pitta breads. All in all the bill came at 23 euros if i remember correctly. It was surely good value for our money and we had a great supper gazing at the people wandering this charming part of ancient Athens. If in the neighborhood, have it in mind :)More'], ['December 31, 2016', 'October 19, 2016', 'September 12, 2015']]"
d8810157,"[[],[]]"
d11812785,"[[],[]]"
d12571607,"[[],[]]"
d4191913,"[[],[]]"
d4492506,"[[],[]]"
d5971427,"[[],[]]"
d12164454,"[['A bit of the beaten path and hidden between two car shops but let me tell you: the food is delicious. I had the Senior Burger with french fries. The french fries are home made and very tasty and so is the burger. My wife...had the „perche meunière“, which was also good. The crème brulée for desert was excellent. Service was quick and friendly. Would recommend this restaurant to any burger and meat lover.\nThere are also vegetarian optionsMore'], ['August 26, 2020']]"
d4768668,"[['Lovely atmosphere delicious home style food at excellent price.  To complete the night, folk music from two elderly gentleman singing along  with their piano accordion. The more hot wine and Czech beer you have, the better you sound   singing along.', 'This restaurant doesnt have modern cool exterior and interior but it has really friendly and quick service. Nothing is problem for them. Its typical czech ""pub"" food - for example fried cheese with fries or steak with weggie, ... Beer (pilsner, gambrinus, kozel) is cheap...and great! If you want to have beers & ""pub"" food with friends in this area you should come here.More'], ['November 11, 2019', 'May 9, 2018']]"
d11871901,"[[],[]]"
d5583335,"[[], []]"
d13279636,"[[""This was horrible. We visited after the neighbourhood was leafleted for this new restaurant, offering a free cocktail with dinner. \nIt was surprising to find the room very dingy, and more so that the offered cocktail was for a single diner. It wasn't the day's...special cocktail, nor one of those on the menu, but rum and grenadine. Resolved not to make a fuss we ordered a second cocktail from the menu which arrived with small flies floating in the glass. \nMy starter of an oeuf cocotte with four gras was not awful, but I was shocked that the menu listed it at €11! If I hadn't known it was there I would've missed the smear of paté at the bottom completely. \nMy main course gateaux de foie de vollailes wasn't nice, but my wife's bavette steak was completely tasteless, and came with a pepper sauce which was really horrible. We gave up and asked for the bill. \nWe explained what had happened, but we're charged for the full menu including desert. The pot of Macon blanc was ok if unlovely, and we had a bottle of San Pellegrino water. But €57 for a really unpleasant experience was excessive. \nPlease avoid this truly dreadful place.More"", 'Restaurant untidy and decor in need of restoration.\nFood less than average and service without a smile.\nEverything combined to make what should have been a good night a poor evening.', ""Very cute and nice garden inside the restaurant. Tasty and big portions made us full. I won't be a fan of local lyoneese sausage, but the rest of plates were good. Helpful and quick service.""], ['October 15, 2019', 'May 11, 2019', 'August 30, 2018']]"
d10784629,"[[],[]]"
d8276525,"[['Me and my husband were on holiday in Paris and after a week eating French food (which is also good, don’t get me wrong) as Brazilians,  we were craving Brazilian food. \nWe found the restaurant on Google and decided to go. \nThe food is amazing...and the restaurant is very cozy, I highly recommend it!!\nWe went once and had to come back on the next day for more.More', 'A good small place to try Brazilian food in Paris. The server was always smiling and very kind...\n\nI recommend the Picanha meat and of course all drinks were great (Caipirinha  and Fruit ones)\nAçaï and desserts are good to try also (expect them to...be heavy in sugar :))\n\nNote: if you liked the comment or pics don’t hesitate clicking on like ;)More'], ['November 7, 2018', 'June 26, 2018']]"
d12078773,"[[],[]]"
d9742180,"[[],[]]"
d8808859,"[[""Poor quality, weird and unsuccessful mixture of sino-Japanese ingredients. Cheddar of n. 84 is not real cheese, it's industrial slices. They even tried to force me to order a drink with the buffet (where is it written that one must order a drink with the...buffet?). At least fish was kind of fresh, except tuna. Never again.More"", 'I ate so much of the buffé that i had to nap the entire afternoon. I think i had like 34 pieces of sushi (really good sushi!!!) It was also at a really good price, 14,5€ (i think?) for the buffé and then you got...to pick whatever you wanted from the menu. Great place, you should go there!!More'], ['December 14, 2019', 'September 1, 2018']]"
d10467094,"[['Amazing Pasteis de nata, a choice of several fresh teas, great music and relaxing atmosphere. Brought us back to our time in lovely Lisboa!', 'Lovely little shop and cafe that has all the best of Portugal right here in Oud Zuid. Homemade pasteis de nata and other treats also. Great Portuguese wine selection.'], ['September 30, 2018', 'April 11, 2018']]"
d11950716,"[['Friendly, local, modest, tasty food. \nDelicious tapas\nShowed the football\nGood beer\nCheap and cheerful\nFull of locals \n\nGood find for a laid back, unpretentious bit to eat.'], ['November 26, 2019']]"
d7147205,"[[],[]]"
d10041332,"[[],[]]"
d12414220,"[[],[]]"
d7595454,"[[], []]"
d12447984,"[['We had a fabulous lunch here. I loved my salmon and everyone else liked their dishes. The meal was reasonable and the service was great. We enjoyed the pleasant atmosphere. We would definitely come back.', 'Our party of four really enjoyed our lunch in this unpretentious, friendly neighborhood bistro.  Our hostess was very welcoming, and was very patient with (and appreciative of) our clumsy high-school-level French.  And most important, the food was very tasty (I had the duck), with some...french fries.  As you can see from the photos, the restaurant is quite simple, but comfortable - not large, but not cramped either.  It would not be our choice for a romantic or leisurely dinner, but for a pleasant simple meal, it was the perfect choice.More'], ['December 14, 2018', 'November 28, 2018']]"
d5264440,"[[],[]]"
d12842559,"[[],[]]"
d12883544,"[['Inside the Greek national garden, in the middle of the center of Athens, very cute and quiet cafe.\nNot cheap but it worths! Beware of the mosquitos!', 'Unfriendly service, no proper drinks. Waiter did not earn his tip, he just took it by not giving the change.'], ['September 17, 2020', 'May 2, 2019']]"
d2549710,"[[],[]]"
d11766630,"[['Last time we ordered, pizzas came late and cold. We took them since we were hungry. This time we called after half an hour to ask where the pizzas were (we live less than 5 min away from the store) and she said delivery guy...hadn’t left with them yet... this is an ongoing problem with this store: pizzas are late and cold, to avoid at any cost!!! Or pickup yourself, since they obviously can’t deliver!!!More'], ['September 21, 2019']]"
d13206566,"[[], []]"
d11885698,"[[],[]]"
d6673365,"[['They offer very good range of pizzas which you can mix 2 in 1.\nThey also offer two kinds of delicious sauces (tomatoes and yoghurt-garlic) for free.'], ['September 3, 2019']]"
d7360304,"[['It´s a nice place, next to a small pond and with airplanes over the head (approach line of TXL). I quite regularly have a cup of coffee and a piece of cake here. The only problem for me is to decide, which cake I take,...they all look absolutely delicious and taste as good. Quite busy on warm and sunny days despite the airplane noise.More', ""This little cafe is tucked into a back corner on the Schäfersee (lake) in Berlin, Reinickendorf.  The menu had a great variety of breakfast foods, salads and delicious turkish meals.  I ordered a chicken salad that was quite good.  A basket of bread was brought...to our table but no butter - which can be usual in Berlin but butter was brought to the table when asked.  The outdoor seating was really nice with beautiful flowers and having the lake so close gave a peaceful feeling.  We didn't realize they also had amazing looking pastries till we went in to pay.  My next visit, I'll try the pastries!More""], ['October 21, 2017', 'July 10, 2016']]"
d8362902,"[[],[]]"
d4553147,"[[],[]]"
d7205059,"[['We have been visiting this Vietnamese regularly for several years now and have never been disappointed. The interior is basic but the tasty food, the friendly service and reasonable prices largely make up for the lack of charm. Over time we have tried a large...number of dishes and they were all good. Our favourites are the grilled prawns (‘scampis grillés’) and the beef or chicken sizzlers. It might be difficult to find a parking spot nearby but Au Délice is very close to the bus ands tram stop Vanderkindere.More', 'This restaurant gets even better. It was really packed today for lunch and it’s easy to understand why. The Hue soup was super tasty. Good choice of wines and beers. Inexpensive and friendly service. What’s not to like?', 'Excellent nems! Friendly owner. Everything is fresh and the Bun Bo Hue soup is a must try!!!! The menu is not expensive (especially for Uccle). I visited this restaurant several times and will definitely come back.'], ['September 12, 2020', 'August 29, 2019', 'June 29, 2019']]"
d938657,"[['Near my hotel we found that really nice restaurant. The food was tasteful, so as the service was very polite and discrete. Would prefer it again.', 'Came here for a late brunch on a Sunday and had a great meal with friendly and attentive staff. Buffet style with a great selection and nice atmosphere.'], ['July 2, 2019', 'April 15, 2018']]"
d11812573,"[['Service is ok but they should work more on it and not very smiley and if u ask for anything thing late they say to u in impolite way WHY Don’t u say before... I don’t recommend.'], ['February 9, 2018']]"
d8435433,"[[],[]]"
d7949496,"[[],[]]"
d10934512,"[[], []]"
d5986180,"[[], []]"
d5511542,"[[],[]]"
d10479056,"[[], []]"
d5884421,"[[],[]]"
d12691511,"[['This gem is a good place too eat authentic food with waiters that are as authentic as the food. They go over and beyond so that you will have a good time. Food is good and very authentic, cost about 10-20 Euro. What sets this...place apart is that you can smoke waterpipe inn here. For about 18 euro they fix a pipe with your flavour of choice. There are several flavors too choose from. \n\nGreat place if you like Lebanese food, and waterpipe!More'], ['July 23, 2018']]"
d5862958,"[[], []]"
d12395922,"[[],[]]"
d2283070,"[[],[]]"
d9750236,"[[],[]]"
d11945680,"[[],[]]"
d11721981,"[[],[]]"
d12911571,"[[], []]"
d5821329,"[[],[]]"
