,id,Cuisine Style
129,d697252,
130,d10734451,
131,d3785147,"Italian,Pizza,Vegetarian Friendly"
132,d12320220,"Chinese,Asian,Vegetarian Friendly"
133,d12873448,"Chinese,Asian,Thai"
134,d10179197,
135,d1037163,
136,d5220257,
137,d7690496,
138,d4924798,"Lebanese,Mediterranean"
139,d9781450,
140,d7644937,"Bar,Pub"
141,d10028124,Spanish
142,d10784649,
143,d10040334,American
144,d12685574,
145,d12112547,
146,d5962368,
147,d10701333,"Chinese,Japanese,Sushi"
148,d4770035,
149,d10271724,"American,Cafe,Fast Food"
150,d1039067,
151,d11861153,
152,d12417709,
153,d12206760,
154,d10769792,
155,d11958431,
156,d5440481,"Cafe,British,Vegetarian Friendly"
157,d12598682,"Quick Bites,Cafe,Vegan Options"
158,d8571233,"European,Portuguese"
159,d5818174,
160,d9752550,
161,d4418101,Gluten Free Options
162,d10818786,
163,d8657804,"Mediterranean,Spanish"
164,d5080700,Barbecue
165,d1356624,
166,d9832010,
167,d11029213,"French,Belgian"
168,d1226617,"Romana,Lazio,Central-Italian"
169,d8602510,
170,d10398981,
171,d8627732,
172,d10478105,Turkish
173,d9729580,
174,d7211474,"German,Vegetarian Friendly"
175,d11951673,"Bar,Mediterranean,Greek"
176,d12404527,Vietnamese
177,d8810157,
178,d1153049,Mediterranean
179,d1099621,Barbecue
180,d13139047,"Indian,Asian,Vegetarian Friendly"
181,d11812785,
182,d7850012,"Quick Bites,Cafe"
183,d12709936,
184,d11958324,"Italian,Pizza,European"
185,d12571607,"Asian,Thai"
186,d10076062,Cafe
187,d12407347,
188,d5081396,
189,d9747453,
190,d10488130,"Asian,Vietnamese"
191,d5971427,Spanish
192,d10811036,"Cafe,European,Scandinavian"
193,d5506292,"Pizza,Vegetarian Friendly"
194,d12164454,French
195,d5122657,
196,d11871901,
197,d1327141,Italian
198,d8414125,"French,Swiss,European"
199,d13279636,"French,Bar,Pub"
200,d5522002,"Lebanese,Moroccan,Mediterranean"
201,d10201077,"Quick Bites,Chinese,Fast Food"
202,d5776307,
203,d9742180,
204,d12452377,"Italian,Pizza,Mediterranean"
205,d12277704,
206,d11793939,Cafe
207,d4091909,
208,d5518556,
209,d10467094,"European,Portuguese"
210,d12233546,
211,d11911250,
212,d8596967,
213,d10146454,"Bar,British,Pub"
214,d10041332,"Bakeries,International"
215,d8853180,African
216,d9456607,Seafood
217,d12414220,
218,d7595454,
219,d12883544,
220,d11766630,
221,d9745343,
222,d10301071,Cafe
223,d7360304,Cafe
224,d8362902,"Italian,Spanish,Argentinean"
225,d4553147,
226,d12966435,
227,d11812573,
228,d10789401,Cafe
229,d8435433,
230,d5511542,
231,d3367014,
232,d7939547,
233,d5884421,
234,d8788057,"European,Vegetarian Friendly"
235,d12061819,Irish
236,d5862958,
237,d12395922,
238,d1905070,
239,d8397457,
240,d12393437,
241,d6652756,
242,d9750236,"Italian,Fast Food,Emilian"
243,d9788399,French
244,d13125687,
245,d11945680,
246,d8338380,"Italian,Cafe,Vegetarian Friendly"
247,d11737173,
248,d13284579,
249,d11721981,
250,d2146131,German
251,d12535679,"Italian,Pizza"
252,d12789180,"European,Czech"
253,d5850350,"Vegetarian Friendly,Vegan Options"
254,d12911571,
255,d5981992,
256,d8467764,
257,d804602,
258,d9798152,
259,d12950509,"Bar,Pub"
260,d13239000,"Cafe,Pub,Gastropub"
261,d10467958,
262,d4470803,
263,d11809877,"Healthy,Vegetarian Friendly,Vegan Options"
264,d13504772,"Italian,Vegetarian Friendly"
265,d8462263,
266,d1411212,"Fast Food,Spanish"
267,d4768930,
268,d4923344,Turkish
269,d8482195,"Asian,Thai"
270,d4919421,
271,d10553180,Japanese
272,d9740773,Cafe
273,d8601922,"German,Cafe,European"
274,d717321,
275,d5852650,Dessert
276,d6716194,
277,d10980877,
278,d8530236,"Bar,Pub"
279,d733242,
280,d1039025,"German,Bar,Cafe"
281,d9791357,
282,d2010970,
283,d12025919,"Quick Bites,Cafe"
284,d1381899,
285,d12322498,Cafe
286,d12430027,
287,d5981575,Italian
288,d10735138,"Fast Food,Spanish"
289,d9999347,"Dutch,European"
290,d6380666,Spanish
291,d12862570,"Asian,Fusion,Diner"
292,d10486190,
293,d11847890,
294,d5432964,
295,d8393660,Cafe
296,d11444792,"Cafe,Vegetarian Friendly"
297,d11964473,"Italian,Bar,Pub"
298,d9737054,Cafe
299,d7148300,
300,d12216087,Spanish
301,d12907448,"Specialty Food Market,Italian,Pizza"
302,d7045483,Quick Bites
303,d13133990,
304,d12172437,
305,d11657242,
306,d8471958,"European,Portuguese"
307,d6986251,
308,d4768750,
309,d8333948,Specialty Food Market
310,d7284551,
311,d6922185,
312,d11768556,"French,Cafe,Fast Food"
313,d4924764,
314,d11916139,"European,Czech,Eastern European"
315,d11711074,"European,Portuguese"
316,d5122077,
317,d8339780,
318,d10872699,"Polish,European"
319,d10782337,Fast Food
320,d4776631,"British,Scottish"
321,d6107125,
322,d6704366,"European,Gluten Free Options"
323,d8741684,Cafe
324,d8297597,
325,d5981386,
326,d11434812,French
327,d8834072,
328,d5787737,
329,d12798690,
330,d12207700,"Quick Bites,Fast Food"
331,d7753684,"Mediterranean,Spanish,Vegetarian Friendly"
332,d12420840,"Quick Bites,Cafe"
333,d4345739,
334,d1346077,"European,Croatian"
335,d10274660,Cafe
336,d13002781,
337,d11979495,"Mediterranean,Spanish"
338,d7931246,
339,d5954906,French
340,d7171641,"Moroccan,Mediterranean"
341,d10742398,
342,d10109714,"European,Portuguese"
343,d8461747,"French,Moroccan,Mediterranean"
344,d6922156,
345,d12667748,
346,d4924135,
347,d9758853,Fast Food
348,d9829783,"Italian,Pizza"
349,d9871396,
350,d8692873,
351,d5986456,"Austrian,European,Central European"
352,d9853874,
353,d9810973,"Chinese,Asian,Vietnamese"
354,d8263801,
355,d4244954,
356,d1320095,
357,d10762770,
358,d11718885,Spanish
359,d11666692,Cafe
360,d10624148,"Japanese,Sushi"
361,d4167330,"Central European,Vegetarian Friendly,Vegan Options"
362,d12351411,
363,d12681755,"Dessert,Cafe,Vegetarian Friendly"
364,d13126863,"Bar,Mediterranean,European"
365,d7108818,
366,d6704114,
367,d9593971,
368,d12246522,
369,d11929423,"Chinese,Japanese,Sushi"
370,d8692514,"Chinese,Filipino,Seafood"
371,d6751284,
372,d997606,
373,d5931811,"French,Bar,European"
374,d10035223,Vegetarian Friendly
375,d2255981,
376,d7178729,Street Food
377,d10832992,"Polish,European"
378,d7032593,"American,Fast Food,Vegetarian Friendly"
379,d7020812,
380,d12322168,"Japanese,Sushi,Asian"
381,d8287553,Deli
382,d3384670,
383,d12857123,
384,d7620381,Cafe
385,d10188766,Chinese
386,d7609639,
387,d10815488,"Dutch,European"
388,d4911298,"Indian,Asian,Vegetarian Friendly"
389,d13282850,
390,d10200676,
391,d2013398,"Cafe,Vegetarian Friendly"
392,d6961700,"Italian,Vegetarian Friendly"
393,d1039258,
394,d12421545,
395,d11596409,Steakhouse
396,d1496003,"Mediterranean,Vegetarian Friendly,Vegan Options"
397,d7619745,French
398,d959085,Vegetarian Friendly
399,d9791174,
400,d1319580,Vegetarian Friendly
401,d11771269,
402,d10218265,
403,d12212086,"Japanese,Sushi,Asian"
404,d7615995,French
405,d12674241,Spanish
406,d1344531,"Italian,Pizza,European"
407,d1330939,
408,d12377604,
409,d6706025,
410,d8753514,"Italian,Vegetarian Friendly"
411,d13130053,
412,d2096383,
413,d1356813,
414,d998022,Spanish
415,d12032968,
416,d10034211,
417,d10049578,
418,d13129650,Vietnamese
419,d12215220,"Italian,Bar,Pizza"
420,d12322543,
421,d1346071,
422,d786883,
423,d13082910,"Cafe,British,Vegetarian Friendly"
424,d8428585,
425,d11910503,
426,d5972458,
427,d12632479,"Italian,Pizza,Vegetarian Friendly"
428,d8428379,
429,d12149655,
430,d12228470,
431,d11822541,"German,Vegetarian Friendly"
432,d10032359,
433,d779486,
434,d10822558,"Fast Food,Spanish"
435,d5820715,
436,d10805602,
437,d5890736,
438,d10077840,
439,d5958887,
440,d12956383,Japanese
441,d7067872,International
442,d10467508,"Belgian,European"
443,d9607414,
444,d11500668,Cafe
445,d10026275,"Mediterranean,Spanish"
446,d7990553,Cafe
447,d11719295,
448,d697489,"Mediterranean,Spanish,Vegan Options"
449,d10160935,"Asian,Thai"
450,d5609081,
451,d6714790,
452,d10662137,"Brazilian,European,Portuguese"
453,d7686488,
454,d12946257,
455,d5964501,"European,Diner,Portuguese"
456,d13081831,"Polish,European"
457,d1035081,
458,d6893937,
459,d947430,"German,Vegetarian Friendly"
460,d4782958,
461,d8383259,
462,d13117362,
463,d1359319,"Italian,Mediterranean,European"
464,d12874574,
465,d8479714,"Bakeries,Cafe,Deli"
466,d6201738,"Italian,Pizza,Vegetarian Friendly"
467,d9749145,
468,d5519135,"Italian,Pizza"
469,d9750098,Turkish
470,d6619294,
471,d10285148,"European,Portuguese"
472,d1356204,
473,d7733296,
474,d5122788,
475,d4844059,Cafe
476,d9819286,"European,Portuguese"
477,d12275378,
478,d8518295,
479,d8097708,American
480,d6935701,"Cafe,Healthy"
481,d11799323,
482,d8705250,
483,d4931818,
484,d12826485,"Dessert,Cafe,Vegetarian Friendly"
485,d10449150,"Dessert,European,Danish"
486,d11802066,"Cafe,Vegetarian Friendly"
487,d4148855,"German,Swiss,European"
488,d9877436,Cafe
489,d1071804,
490,d1080742,
491,d8619499,
492,d13205446,
493,d12323706,"Italian,Pizza,European"
494,d10509453,"French,Cafe,Vegetarian Friendly"
495,d1103656,
496,d9740148,
497,d10335983,"Cafe,Vegetarian Friendly,Vegan Options"
498,d5220255,
499,d8672746,"Italian,Wine Bar"
500,d13421037,"Italian,Pizza,Vegetarian Friendly"
501,d8733137,"Cafe,European,Vegetarian Friendly"
502,d9605960,French
503,d7605092,
504,d5804331,
505,d5496500,Cafe
506,d8787538,"European,Danish"
507,d1356015,Italian
508,d4844204,
509,d10192258,
510,d5122064,
511,d8339618,
512,d5122849,Italian
513,d2151556,
514,d10794914,
515,d12558178,
516,d9789365,Spanish
517,d8531697,German
518,d12453682,
519,d7992615,
520,d6755784,
521,d11928149,Cafe
522,d8462270,Spanish
523,d1340196,
524,d5444806,
525,d997680,
526,d12867989,
527,d9805445,
528,d7252091,
529,d7236057,
530,d6726759,French
531,d12238910,"Dutch,Seafood,International"
532,d4675349,
533,d10341101,European
534,d4943034,
535,d1329045,
536,d5491342,
537,d1336899,"Chinese,Cantonese"
538,d2006103,
539,d5800154,
540,d5851593,"Cafe,Vegetarian Friendly"
541,d12012205,
542,d5816301,
543,d2321413,"Bar,Spanish,Pub"
544,d12327330,
545,d7181186,"French,Bar,Cafe"
546,d7061079,Cafe
547,d986430,
548,d12378996,Italian
549,d11788852,Cafe
550,d12192052,"Belgian,European"
551,d6581207,
552,d5614311,
553,d4601776,
554,d12097595,
555,d10716310,"German,Vegetarian Friendly"
556,d11930650,
557,d3607474,
558,d991499,
559,d13190177,"Japanese,Vegetarian Friendly,Vegan Options"
560,d8474890,"Cafe,Vegetarian Friendly,Vegan Options"
561,d10069335,"Spanish,Vegetarian Friendly,Gluten Free Options"
562,d11857642,"American,Pizza"
563,d12141502,"Dessert,French"
564,d10252893,
565,d5011008,"Dessert,European"
566,d10140372,
567,d8068547,"Spanish,Vegetarian Friendly"
568,d12155292,"Chinese,Asian,Thai"
569,d11687199,"Italian,Pizza"
570,d5825478,
571,d10192941,
572,d10392545,"Bar,Barbecue,European"
573,d11713844,"Lebanese,Fast Food,Mediterranean"
574,d6835557,
575,d11815170,
576,d11983289,"Dessert,Deli"
577,d6641357,"European,Swedish,Scandinavian"
578,d2325542,"Italian,Seafood,Mediterranean"
579,d10202484,
580,d9733986,
581,d7953199,"Bakeries,Cafe"
582,d12878264,"Belgian,European"
583,d7755777,"European,Central European,Vegetarian Friendly"
584,d11706130,African
585,d8124258,
586,d11547347,
587,d8340107,
588,d5581103,"Greek,Vegetarian Friendly"
589,d11629649,Italian
590,d9853867,
591,d12181618,"Vietnamese,Vegetarian Friendly"
592,d8624540,
593,d5895042,French
594,d5969539,
595,d11852969,"Cafe,European,Portuguese"
596,d8022957,
597,d13125943,Cafe
598,d5778069,Fast Food
599,d9557939,"Dutch,Bar,European,Pub"
600,d13008535,Healthy
601,d11688396,"American,Steakhouse,Barbecue"
602,d12005035,
603,d9852007,
604,d10347570,
605,d7694821,
606,d11917969,
607,d12094923,French
608,d5936442,
609,d5122139,
610,d5487478,
611,d10431069,Cafe
612,d10517142,South American
613,d8017741,
614,d12320990,
615,d8339648,Italian
616,d12255549,"Cafe,Vegetarian Friendly"
617,d10468312,
618,d5583545,Fast Food
619,d7365793,
620,d10019835,
621,d4910737,Fast Food
622,d5981520,
623,d4910121,
624,d7003290,Austrian
625,d7714826,Spanish
626,d1344921,
627,d9859952,
628,d5865670,"Italian,Pizza"
629,d2053313,"Indian,Vegetarian Friendly,Vegan Options"
630,d12827934,
631,d1332788,Greek
632,d5795620,
633,d9767510,"Swiss,Bar,Cafe"
634,d1798785,
635,d9717122,"Vegetarian Friendly,Vegan Options"
636,d11703985,"Italian,European,Central European"
637,d8848749,
638,d7349863,American
639,d9830824,
640,d12252409,
641,d5794562,
642,d12850963,
643,d5813719,
644,d10733472,
645,d8782965,Indian
646,d7367629,"Italian,Mediterranean,Vegetarian Friendly"
647,d9452660,Cafe
648,d8339773,Italian
649,d11984905,Soups
650,d4150090,
651,d697197,
652,d1037140,
653,d1344184,"German,Vegetarian Friendly"
654,d12127413,Chinese
655,d12806137,"International,European,Greek"
656,d740223,
657,d5122098,"Cafe,Vegetarian Friendly,Vegan Options"
658,d9882080,
659,d10583051,
660,d4809095,"European,Portuguese"
661,d12431424,Cafe
662,d9731210,"Austrian,European"
663,d986345,
664,d718357,
665,d2605405,
666,d6276909,"Bar,Mediterranean,European"
667,d7092893,
668,d4912210,
669,d2069188,"German,Barbecue,European"
670,d10183489,
671,d12670810,French
672,d7251714,"Italian,French,Pizza"
673,d10665100,
674,d3982588,
675,d8288699,
676,d13126117,Italian
677,d12430910,"Japanese,Sushi,Asian"
678,d2616974,
679,d9581221,Japanese
680,d987871,
681,d12978805,
682,d9882107,"Italian,Mediterranean"
683,d10501475,"Austrian,Cafe,Fast Food"
684,d1329781,"Caribbean,Cajun & Creole,International"
685,d1317345,
686,d9750862,Spanish
687,d13108922,"Italian,Mediterranean,Lombard"
688,d10815291,"Japanese,Sushi,Asian"
689,d10028345,Mediterranean
690,d9986891,
691,d12087969,Pizza
692,d12506505,
693,d10303002,
694,d12155241,Spanish
695,d12523639,
696,d12824847,
697,d13172157,Greek
698,d697610,
699,d6200985,Vegetarian Friendly
700,d10584149,
701,d11965418,"Thai,Vegetarian Friendly"
702,d2282803,
703,d5890556,
704,d12657453,"French,European,Contemporary"
705,d6697361,Italian
706,d9561885,
707,d4770089,
708,d5488978,Steakhouse
709,d9736438,French
710,d10279161,
711,d6618234,
712,d10751621,"Steakhouse,Fast Food"
713,d5972492,
714,d5080712,Cafe
715,d5264459,French
716,d8339853,Pizza
717,d8356681,
718,d1195848,
719,d10039383,
720,d12320773,
721,d12530861,"Dessert,Vegetarian Friendly"
722,d12560018,
723,d5895400,
724,d10396847,"French,Bar,Pub"
725,d8148024,
726,d12557822,
727,d8339797,"Italian,Cafe,Vegetarian Friendly"
728,d8490715,
729,d8338558,
730,d780905,
731,d11742815,
732,d9824211,
733,d1016030,
734,d5809843,French
735,d10733501,"Italian,International,Mediterranean"
736,d6988995,"Fast Food,Turkish,Vegetarian Friendly"
737,d8786577,"Bar,Cafe,European"
738,d10845906,
739,d12633126,
740,d2153168,Vegetarian Friendly
741,d4910692,Middle Eastern
742,d12149248,"European,Portuguese"
743,d1039059,"Turkish,Middle Eastern,Vegetarian Friendly"
744,d9809593,
745,d964516,"Bar,Pub,Wine Bar"
746,d12406630,Cafe
747,d12883260,
748,d720646,
749,d7028405,
750,d7705085,Italian
751,d8297631,
752,d8389853,
753,d5959108,
754,d5776778,
755,d9744760,
756,d8485758,Vegetarian Friendly
757,d8261504,
758,d6985483,"European,Scandinavian"
759,d12621405,"European,Portuguese"
760,d11881289,Vietnamese
761,d13197525,
762,d697865,
763,d4925072,"Quick Bites,Fast Food"
764,d8611027,Cafe
765,d11810618,Cafe
766,d10071825,
767,d6750888,
768,d1571579,
769,d13230314,
770,d11921254,"Cafe,Mediterranean,Spanish"
771,d11953102,Spanish
772,d11434857,
773,d8527837,
774,d11547467,"Cafe,Vegan Options"
775,d7283061,"Steakhouse,Mediterranean,Spanish"
776,d5870730,Spanish
777,d4150372,
778,d10004354,Seafood
779,d12546929,"Italian,Pizza,Southern-Italian"
780,d696219,
781,d12731915,
782,d5779752,"French,Bar,Pub"
783,d5888656,
784,d7939772,
785,d5794927,
786,d12716306,
787,d4771998,
788,d12076815,"Italian,Pizza"
789,d12195919,
790,d2216441,
791,d10843558,
792,d9766113,
793,d10026670,"Mediterranean,Greek"
794,d8322337,
795,d12207498,"Austrian,European,Central European"
796,d11779213,"Vegetarian Friendly,Vegan Options"
797,d8581485,
798,d5790645,
799,d6902622,"European,Portuguese"
800,d8361333,
801,d997456,"Spanish,Vegetarian Friendly"
802,d8343965,
803,d8339761,
804,d6440870,"Italian,Pizza,Seafood"
805,d1327654,
806,d5486339,Mexican
807,d10087488,"Italian,Mediterranean"
808,d4923241,
809,d10468925,"Brazilian,Fast Food,South American"
810,d8476392,
811,d5122724,Turkish
812,d8684892,
813,d718419,European
814,d9751133,"German,Cafe,European"
815,d12670824,"Quick Bites,Seafood,Fast Food"
816,d5794782,
817,d5868271,
818,d1946076,French
819,d4770180,
820,d6856850,
821,d8398466,
822,d12447534,"European,Scandinavian,Danish"
823,d11622707,
824,d5791730,Fast Food
825,d1331171,
826,d11689224,Italian
827,d12670300,
828,d10754220,Chinese
829,d8393556,Turkish
830,d12208688,"Spanish,South American"
831,d7261832,
832,d12404633,"Indian,Vegetarian Friendly"
833,d6715442,"Bar,Spanish,Pub"
834,d8339557,
835,d5617347,Spanish
836,d10679589,Dessert
837,d13129071,Chinese
838,d8320224,French
839,d4844994,Dutch
840,d7160729,"European,Scandinavian"
841,d10347901,
842,d5816217,
843,d12438465,
844,d8853237,"Cafe,Deli"
845,d5486633,Dessert
846,d1534926,
847,d719799,
848,d4363770,"Chinese,Asian"
849,d11668002,Pizza
850,d9836681,"Bar,Pub"
851,d11952754,Cafe
852,d4150091,
853,d8432085,"Bar,Cafe,Spanish"
854,d12449962,"Japanese,Sushi,Asian"
855,d5768681,
856,d8364770,
857,d2149612,
858,d4844339,
859,d12562867,"European,Swedish"
860,d5509525,
861,d12071777,
862,d4831827,
863,d5489226,
864,d9797930,Italian
865,d12671975,"Italian,Vegetarian Friendly,Vegan Options"
866,d11921205,
867,d8130518,
868,d8537733,
869,d11774873,
870,d11737291,
871,d5027108,
872,d8861490,"Italian,Pizza"
873,d9809498,
874,d12143894,Spanish
875,d4769028,
876,d5267806,"Vegetarian Friendly,Vegan Options"
877,d12506172,"Belgian,Bar,European"
878,d5122044,Caribbean
879,d11651307,Healthy
880,d12065275,"Steakhouse,Cafe,Barbecue"
881,d10686379,"Cafe,Vegetarian Friendly"
882,d4770084,
883,d12786736,
884,d6159015,"Italian,Mediterranean,Vegetarian Friendly"
885,d12148796,
886,d10072605,
887,d11880466,
888,d8834124,"Swiss,European"
889,d8809828,Cafe
890,d8681805,"Bakeries,Cafe"
891,d5489148,"Spanish,Vegetarian Friendly,Vegan Options"
892,d11992818,Cafe
893,d10036197,
894,d5791590,
895,d1093742,
896,d7117216,"Polish,European"
897,d9807467,Cafe
898,d13289876,
899,d9714836,
900,d9788504,"Indian,Fast Food,Middle Eastern"
901,d10500062,
902,d7897018,
903,d5980933,
904,d2203463,
905,d6947757,"Bakeries,Cafe"
906,d1093661,
907,d9882946,French
908,d9758802,
909,d12394472,
910,d12687303,"Vegetarian Friendly,Vegan Options"
911,d8018289,Fast Food
912,d12690406,Spanish
913,d7616195,
914,d12657757,"Spanish,Vegetarian Friendly"
915,d10076264,"European,Swedish"
916,d13116812,"Specialty Food Market,Seafood"
917,d997217,"Pizza,Mediterranean"
918,d12388275,
919,d5615712,
920,d695926,
921,d1325599,
922,d12446122,"Cafe,European,Portuguese"
923,d12875961,Pizza
924,d8487293,"Italian,Bar,Cafe"
925,d7710664,Cafe
926,d12645762,
927,d9980695,"Japanese,Sushi"
928,d7691403,
929,d11644314,"Cafe,Spanish"
930,d10177098,"European,Swedish"
931,d10810322,
932,d12593521,
933,d12551161,"Indian,Vegetarian Friendly"
934,d9777637,
935,d8603353,"Asian,Vietnamese"
936,d10342481,"Chinese,Asian"
937,d12323332,French
938,d5107908,
939,d10025251,"Sushi,Asian"
940,d2143292,German
941,d10045197,"Cafe,Wine Bar"
942,d10100669,French
943,d5981136,
944,d5794982,
945,d11885111,
946,d5821547,
947,d7083435,
948,d11706123,Spanish
949,d11970034,"Italian,Cafe"
950,d10821966,"American,Fast Food"
951,d5609103,
952,d6525573,
953,d8500419,Cafe
954,d12990157,
955,d5981619,
956,d11960638,"French,European"
957,d5798607,
958,d815558,
959,d1343435,
960,d10028212,"Polish,European"
961,d5447976,"Cafe,British"
962,d982337,
963,d12231441,
964,d8339661,Italian
965,d12926349,"Dessert,Cafe,Vegetarian Friendly"
966,d8428994,"Pizza,Pub"
967,d10679009,
968,d12115633,Vegetarian Friendly
969,d10065467,"Dutch,Seafood,European"
970,d11658048,"Fast Food,Turkish,Middle Eastern"
971,d8051417,
972,d11722666,
973,d12286063,"Bar,Vegetarian Friendly,Vegan Options"
974,d12220611,Vegan Options
975,d11925969,"Polish,Cafe,European"
976,d13088986,"French,European,Wine Bar"
977,d9808585,
978,d5926709,
979,d9740137,"Italian,French,Pizza"
980,d12244219,"European,Portuguese"
981,d12063465,Cafe
982,d7228973,"Peruvian,South American"
983,d10838733,
984,d12154545,"Austrian,Cafe,European"
985,d10518171,Vegetarian Friendly
986,d12780255,"Bar,European,Pub"
987,d1039303,"Bakeries,German,Cafe"
988,d12950426,"International,European,British"
989,d5122681,
990,d1037004,
991,d4887802,
992,d2153083,Spanish
993,d10748664,Vegetarian Friendly
994,d9714765,
995,d8431344,Spanish
996,d7607432,"Bakeries,Italian,Bar"
997,d11876122,Spanish
998,d12130008,"Fast Food,Middle Eastern"
999,d7939618,
1000,d1035463,European
1001,d12557356,
1002,d1072910,"Bar,Pub"
1003,d9731847,
1004,d10221687,
1005,d12718154,
1006,d5812266,"French,Mediterranean"
1007,d1336072,French
1008,d11979448,"European,Portuguese"
1009,d10214420,
1010,d3482628,"Austrian,European,South American"
1011,d10270613,
1012,d7992707,"Mediterranean,Spanish"
1013,d10306163,Cafe
1014,d10804548,Healthy
1015,d3700228,
1016,d5440386,
1017,d7240342,
1018,d1967097,
1019,d7023747,Fast Food
1020,d8607042,
1021,d6874868,
1022,d5804498,French
1023,d6487941,"International,European,Fusion"
1024,d11737367,"Pizza,International"
1025,d4923298,Fast Food
1026,d8560617,Spanish
1027,d1341444,
1028,d10766236,"Bar,European,Gastropub"
1029,d10509826,"Japanese,Fast Food,Sushi"
1030,d10188263,
1031,d10441793,
1032,d12896617,"Italian,Pizza,Vegetarian Friendly"
1033,d4523130,
1034,d8749259,"Cafe,Fast Food"
1035,d6850220,French
1036,d12286389,"Cafe,European,Portuguese"
1037,d5768921,Indian
1038,d10149327,Cafe
1039,d8340766,"Italian,Bar,Cafe"
1040,d4801128,French
1041,d5949207,
1042,d11701729,"Cafe,Vegetarian Friendly,Vegan Options"
1043,d9566645,"Turkish,Middle Eastern,Halal"
1044,d9711563,
1045,d5795229,
1046,d9730844,Cafe
1047,d12435113,Healthy
1048,d8127489,
1049,d8723774,
1050,d12510320,
1051,d11871578,"Mediterranean,Spanish"
1052,d11331461,"Bar,Pub"
1053,d13153525,
1054,d12621244,"Fast Food,Turkish,Middle Eastern"
1055,d10754913,
1056,d10147878,Specialty Food Market
1057,d10259519,
1058,d9729928,Cafe
1059,d9453335,Gluten Free Options
1060,d10736346,
1061,d12972370,"Fast Food,Vegetarian Friendly,Vegan Options"
1062,d11717683,
1063,d8779173,"Fast Food,Middle Eastern,Vegetarian Friendly,Vegan Options"
1064,d10522663,"European,Czech"
1065,d10087366,Pub
1066,d7281496,
1067,d5220267,Chinese
1068,d10231052,"French,Belgian,Fast Food"
1069,d7810324,
1070,d9821093,
1071,d8737095,
1072,d7892771,Deli
